fnames,pothole %
00aqq56m.jpg,1
00c9sdfq.jpg,1
00jjy9i3.jpg,0
00q3q8py.jpg,0
00yf8rxj.jpg,1
01jyy8yk.jpg,0
01lx7dej.jpg,3
01paoyy0.jpg,8
02f4ee5p.jpg,1
02ld1b80.jpg,0
02oxhx7t.jpg,1
02p3im8e.jpg,0
02tbllvk.jpg,0
033mywd5.jpg,10
037ixv8i.jpg,0
03ktj7hp.jpg,1
0486wull.jpg,6
04tuacho.jpg,4
04v26w5i.jpg,0
05539ldd.jpg,0
059v7dfr.jpg,1
05kp6zwl.jpg,0
05vpdhwn.jpg,7
06248sj2.jpg,0
062rpsl7.jpg,0
068kigkq.jpg,4
06pw5i6a.jpg,0
06vef9s7.jpg,3
06wemho2.jpg,1
07g549gj.jpg,0
07toknod.jpg,0
0836y8b5.jpg,10
088afxq7.jpg,1
089psive.jpg,2
08bradgz.jpg,1
08eekqwh.jpg,9
08kliu69.jpg,0
08kp3r6m.jpg,0
08mhulk6.jpg,2
08nw5ur2.jpg,0
096j0dg4.jpg,2
09a3x6lh.jpg,1
09azmbt4.jpg,0
0a9kzasw.jpg,1
0av740bq.jpg,0
0b28dz29.jpg,0
0ba07d02.jpg,0
0bao2ebx.jpg,5
0bep6k5v.jpg,1
0bn0qmym.jpg,24
0bqrf4qe.jpg,0
0c14jivc.jpg,0
0c43onyh.jpg,0
0ckafs2j.jpg,1
0crofl9e.jpg,0
0d1kpoj9.jpg,0
0ddbexw5.jpg,0
0dfm50lg.jpg,3
0dfn9sju.jpg,11
0dpfk39j.jpg,0
0du5icfr.jpg,38
0e3kidbx.jpg,4
0e49wb5l.jpg,0
0e920g0e.jpg,1
0e9ut2l7.jpg,0
0e9ytskk.jpg,1
0f2av95u.jpg,12
0fot9xkx.jpg,2
0fsdvfdw.jpg,45
0fu23ahc.jpg,30
0fudotuv.jpg,2
0fup8312.jpg,1
0gg0xbof.jpg,0
0gnxokvi.jpg,8
0gzzp0qx.jpg,0
0hcsdjnu.jpg,0
0hhhtqli.jpg,3
0hrmjfqx.jpg,1
0i4iakfv.jpg,4
0ib8nkkv.jpg,5
0ixyu5r3.jpg,5
0jdpuelo.jpg,2
0kf0vfiw.jpg,4
0kkvp6ub.jpg,0
0km71apf.jpg,5
0l2x26ir.jpg,0
0l5k5my7.jpg,0
0l67kefu.jpg,2
0lcyvfws.jpg,1
0lfa00z0.jpg,5
0m4hcijg.jpg,0
